imdbID,Title,Year,Cast,Meter,Metacritic,AdjBoxOffice,LeadActor,Gender
tt1037705,The Book of Eli,2010,"Denzel Washington, Gary Oldman, Mila Kunis, Ray Stevenson",48,53,"$102,875,203",Denzel Washington,m
tt0217505,Gangs of New York,2002,"Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent",75,72,"$102,640,381",Leonardo DiCaprio,m
tt1320239,Burke and Hare,2010,"Bill Bailey, Tom Wilkinson, Michael Smiley, Tim Curry",33,46,"$102,547,923",Bill Bailey,m
tt0139654,Training Day,2001,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger",72,70,"$102,262,495",Denzel Washington,m
tt0964517,The Fighter,2010,"Mark Wahlberg, Christian Bale, Amy Adams, Melissa Leo",90,79,"$102,111,549",Mark Wahlberg,m
tt0455944,The Equalizer,2014,"Denzel Washington, Marton Csokas, Chloë Grace Moretz, David Harbour",61,57,"$102,011,256",Denzel Washington,m
tt0218967,The Family Man,2000,"Nicolas Cage, Téa Leoni, Don Cheadle, Jeremy Piven",53,42,"$101,826,913",Nicolas Cage,m
tt1959490,Noah,2014,"Russell Crowe, Jennifer Connelly, Ray Winstone, Anthony Hopkins",76,68,"$101,709,745",Russell Crowe,m
tt0388795,Brokeback Mountain,2005,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",87,87,"$101,124,689",Heath Ledger,m
tt0370263,AVP: Alien vs. Predator,2004,"Sanaa Lathan, Raoul Bova, Lance Henriksen, Ewen Bremner",21,29,"$101,002,116",Sanaa Lathan,f
tt2302755,Olympus Has Fallen,2013,"Gerard Butler, Aaron Eckhart, Finley Jacobsen, Dylan McDermott",48,41,"$100,998,628",Gerard Butler,m
tt0369735,Monster-in-Law,2005,"Jennifer Lopez, Jane Fonda, Michael Vartan, Wanda Sykes",16,31,"$100,881,015",Jennifer Lopez,f
tt1631867,Edge of Tomorrow,2014,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton",90,71,"$100,604,204",Tom Cruise,m
tt0840361,The Town,2010,"Ben Affleck, Rebecca Hall, Jon Hamm, Jeremy Renner",93,74,"$100,584,239",Ben Affleck,m
tt0452598,Cheaper by the Dozen 2,2005,"Steve Martin, Eugene Levy, Bonnie Hunt, Tom Welling",6,34,"$100,515,504",Steve Martin,m
